player_name,mlbam_id,launch_speed,launch_angle
"Witt Jr., Bobby",677951,104.1,10.0
"Witt Jr., Bobby",677951,92.6,13.0
"Witt Jr., Bobby",677951,69.2,17.0
"Witt Jr., Bobby",677951,106.7,3.0
"Witt Jr., Bobby",677951,111.5,19.0
"Witt Jr., Bobby",677951,99.4,9.0
"Witt Jr., Bobby",677951,77.6,2.0
"Witt Jr., Bobby",677951,70.9,-21.0
"Witt Jr., Bobby",677951,83.1,15.0
"Witt Jr., Bobby",677951,106.8,5.0
"Witt Jr., Bobby",677951,110.2,3.0
"Witt Jr., Bobby",677951,112.7,3.0
"Witt Jr., Bobby",677951,74.6,17.0
"Witt Jr., Bobby",677951,102.0,10.0
"Witt Jr., Bobby",677951,104.3,-13.0
"Witt Jr., Bobby",677951,102.4,12.0
"Witt Jr., Bobby",677951,106.1,25.0
"Witt Jr., Bobby",677951,106.2,20.0
"Witt Jr., Bobby",677951,69.7,32.0
"Witt Jr., Bobby",677951,104.1,20.0
"Witt Jr., Bobby",677951,67.3,27.0
"Witt Jr., Bobby",677951,65.1,20.0
"Witt Jr., Bobby",677951,78.4,8.0
"Witt Jr., Bobby",677951,104.7,32.0
"Witt Jr., Bobby",677951,91.1,-6.0
"Witt Jr., Bobby",677951,79.6,10.0
"Witt Jr., Bobby",677951,108.3,16.0
"Witt Jr., Bobby",677951,105.3,17.0
"Witt Jr., Bobby",677951,95.5,12.0
"Witt Jr., Bobby",677951,107.8,-19.0
"Witt Jr., Bobby",677951,72.0,-17.0
"Witt Jr., Bobby",677951,105.0,17.0
"Witt Jr., Bobby",677951,86.2,18.0
"Witt Jr., Bobby",677951,81.9,19.0
"Witt Jr., Bobby",677951,81.5,16.0
"Witt Jr., Bobby",677951,109.8,-6.0
"Witt Jr., Bobby",677951,101.4,13.0
"Witt Jr., Bobby",677951,101.4,20.0
"Witt Jr., Bobby",677951,88.1,10.0
"Witt Jr., Bobby",677951,98.1,6.0
"Witt Jr., Bobby",677951,84.3,-3.0
"Witt Jr., Bobby",677951,91.8,-11.0
"Witt Jr., Bobby",677951,111.9,-8.0
"Witt Jr., Bobby",677951,102.7,7.0
"Witt Jr., Bobby",677951,94.0,4.0
"Witt Jr., Bobby",677951,55.2,-63.0
"Witt Jr., Bobby",677951,107.1,-5.0
"Witt Jr., Bobby",677951,70.9,-54.0
"Witt Jr., Bobby",677951,111.5,12.0
"Witt Jr., Bobby",677951,96.4,20.0
"Witt Jr., Bobby",677951,73.7,18.0
"Witt Jr., Bobby",677951,105.4,-1.0
"Witt Jr., Bobby",677951,99.7,11.0
"Witt Jr., Bobby",677951,104.9,23.0
"Witt Jr., Bobby",677951,103.7,14.0
"Witt Jr., Bobby",677951,103.1,9.0
"Witt Jr., Bobby",677951,110.9,5.0
"Witt Jr., Bobby",677951,113.3,4.0
"Witt Jr., Bobby",677951,78.5,17.0
"Witt Jr., Bobby",677951,99.3,16.0
"Witt Jr., Bobby",677951,111.3,-3.0
"Witt Jr., Bobby",677951,104.1,30.0
"Witt Jr., Bobby",677951,110.1,7.0
"Witt Jr., Bobby",677951,110.6,6.0
"Witt Jr., Bobby",677951,106.3,21.0
"Witt Jr., Bobby",677951,71.2,43.0
"Arraez, Luis",650333,92.5,12.0
"Arraez, Luis",650333,96.6,23.0
"Arraez, Luis",650333,95.1,29.0
